Universidad de Almería, dominio_email_alumnos : @alu.ual.es, dominio_email_profesores : @ual.es
Universidad de Cádiz, dominio_email_alumnos : @alu.uca.es, dominio_email_profesores : @uca.es
Universidad de Córdoba, dominio_email_alumnos : @alu.uco.es, dominio_email_profesores : @uco.es
Universidad de Granada, dominio_email_alumnos : @alu.ugr.es, dominio_email_profesores : @ugr.es
Universidad de Huelva, dominio_email_alumnos : @alu.uhu.es, dominio_email_profesores : @uhu.es
Universidad Internacional de Andalucía, dominio_email_alumnos : @alu.unia.es, dominio_email_profesores : @unia.es
Universidad de Jaén, dominio_email_alumnos : @alu.ujaen.es, dominio_email_profesores : @ujaen.es
Universidad de Málaga, dominio_email_alumnos : @alu.uma.es, dominio_email_profesores : @uma.es
Universidad Pablo de Olavide, dominio_email_alumnos : @alu.upo.es, dominio_email_profesores : @upo.es
Universidad de Sevilla, dominio_email_alumnos : @alu.us.es, dominio_email_profesores : @us.es
Universidad de Zaragoza, dominio_email_alumnos : @alu.unizar.es, dominio_email_profesores : @unizar.es
Universidad San Jorge, dominio_email_alumnos : @alu.usj.es, dominio_email_profesores : @usj.es
Universidad de La Laguna, dominio_email_alumnos : @ull.edu.es, dominio_email_profesores : @ull.es
Universidad de Las Palmas de Gran Canaria, dominio_email_alumnos : @alu.ulpgc.es, dominio_email_profesores : @ulpgc.es
Universidad de Cantabria, dominio_email_alumnos : @alu.unican.es, dominio_email_profesores : @unican.es
Universidad Internacional Menéndez Pelayo UIMP, dominio_email_alumnos : @alu.uimp.es, dominio_email_profesores : @uimp.es
Universidad de Castilla-La Mancha, dominio_email_alumnos : @alu.uclm.es, dominio_email_profesores : @uclm.es
Universidad de Burgos, dominio_email_alumnos : @alu.ubu.es, dominio_email_profesores : @ubu.es
Universidad Católica de Ávila, dominio_email_alumnos : @alu.ucavila.es, dominio_email_profesores : @ucavila.es
Universidad Europea Miguel de Cervantes, dominio_email_alumnos : @alu.uemc.es, dominio_email_profesores : @uemc.es
IE Universidad, dominio_email_alumnos : @alu.ie.edu, dominio_email_profesores : @ie.edu
Universidad de León, dominio_email_alumnos : @alu.ule.es, dominio_email_profesores : @ule.es
Universidad Pontificia de Salamanca, dominio_email_alumnos : @alu.upsa.es, dominio_email_profesores : @upsa.es
Universidad de Salamanca, dominio_email_alumnos : @alu.usal.es, dominio_email_profesores : @usal.es
Universidad de Valladolid, dominio_email_alumnos : @alu.uva.es, dominio_email_profesores : @uva.es
Universidad Politécnica de Cataluña, dominio_email_alumnos : @alu.upc.edu, dominio_email_profesores : @upc.edu
Universitat Abat Oliba CEU, dominio_email_alumnos : @alu.uaoceu.es, dominio_email_profesores : @uaoceu.es
Universidad Autónoma de Barcelona, dominio_email_alumnos : @alu.uab.cat, dominio_email_profesores : @uab.cat
Universidad de Barcelona, dominio_email_alumnos : @alu.ub.edu, dominio_email_profesores : @ub.edu
Universidad de Girona, dominio_email_alumnos : @alu.udg.edu, dominio_email_profesores : @udg.edu
Universidad Internacional de Cataluña, dominio_email_alumnos : @alu.uic.es, dominio_email_profesores : @uic.es
Universitat de Lleida, dominio_email_alumnos : @alu.udl.cat, dominio_email_profesores : @udl.cat
Universitat Oberta de Catalunya, dominio_email_alumnos : @alu.uoc.edu, dominio_email_profesores : @uoc.edu
Universidad Pompeu Fabra, dominio_email_alumnos : @alu.upf.edu, dominio_email_profesores : @upf.edu
Universidad Ramón Llull, dominio_email_alumnos : @alu.url.edu, dominio_email_profesores : @url.edu
Universidad Rovira i Virgili, dominio_email_alumnos : @alu.urv.cat, dominio_email_profesores : @urv.cat
Universidad de Vic, dominio_email_alumnos : @alu.uvic.cat, dominio_email_profesores : @uvic.cat
Universidad Alfonso X El Sabio, dominio_email_alumnos : @alu.uax.es, dominio_email_profesores : @uax.es
Universidad de Alcalá, dominio_email_alumnos : @alu.uah.es, dominio_email_profesores : @uah.es
Universidad Antonio de Nebrija, dominio_email_alumnos : @alumnos.nebrija.es, dominio_email_profesores : @nebrija.es
